index,authors,title,reference,reference_detail,month,month_num,year,type,selected,research,dataset,hidden,link1,link1_name,link2,link2_name
036,H. Choi and I. V. Bajić,High efficiency compression for object detection,Proc. IEEE ICASSP'18,"pp. 1729-1796, Calgary, AB.",Apr,4,2018,c,,,,,https://www.researchgate.net/publication/323587623_High_efficiency_compression_for_object_detection,ResearchGate,,
037,"S. R. Alvar, H. Choi, and I. V. Bajić",Can you tell a face from a HEVC bitstream?,Proc. IEEE MIPR'18,"Miami, FL.",Apr,4,2018,c,,,,,https://www.researchgate.net/publication/319642926_Can_you_tell_a_face_from_a_HEVC_bitstream,ResearchGate,,
038,"S. H. Khatoonabadi, I. V. Bajić, and Y. Shan",Compressed-domain visual saliency models: A comparative study,Multimedia Tools and Applications,"vol. 76, no. 24, pp. 26297–26328.",Dec,12,2017,j,,,,,https://www.researchgate.net/publication/301648390_Compressed-domain_visual_saliency_models_A_comparative_study,ResearchGate,https://researchdata.sfu.ca/pydio_public/99a48d,Code
039,A. Hajshirmohammadi,Incorporating Experiential Learning in Engineering Courses,IEEE Communications Magazine,"Vol. 55, No. 11, pp. 166-169. ",Nov,11,2017,j,,,,,,,,
040,"G. Javadi, A. Hajshirmohammadi, and J. Liang",Power and Sub-channel Optimization of JPEG 2000 Image Transmission over OFDM-Based Cognitive Radio Networks,Signal Processing: Image Communication,"vol. 58, pp. 157-164.",Oct,10,2017,j,1,2,,,https://www.sciencedirect.com/science/article/pii/S0923596517301418,ScienceDirect,,
041,"M. Liu, Y. Zhao, J. Liang, C. Lin, H. Bai, C. Yao",Depth map up-sampling with fractal dimension and texture-depth boundary consistencies,Neurocomputing,"Vol. 257, pp. 185–192. ",Sep,9,2017,j,,,,,http://www.sciencedirect.com/science/article/pii/S0925231217301546,ScienceDirect,,
042,"M. Zhao, X. Gong, J. Liang, W. Wang, X. Que, Y. Guo, and S. Cheng",QoE-driven optimization for Cloud-assisted DASH-based Scalable Interactive Multiview Video Streaming over Wireless Network,Signal Processing: Image Communication,"Vol. 57, pp. 157-172.",Sep,9,2017,j,,,,,,,,
043,"H. Hadizadeh, A. Rajati, and I. V. Bajić",Saliency-guided just noticeable distortion estimation using the normalized Laplacian pyramid,IEEE Signal Processing Letters,"vol. 24, no. 8, pp. 1218-1222.",Aug,8,2017,j,,,,,https://www.researchgate.net/publication/317730087_Saliency-guided_Just_Noticeable_Distortion_Estimation_Using_the_Normalized_Laplacian_Pyramid,ResearchGate,,
044,C. Bi and J. Liang,Joint Source-Channel Coding of JPEG 2000 Image Transmission Over Two-Way Multi-Relay Networks,IEEE Trans. Image Processing,"Vol. 26, No. 7, pp. 3594-3608.",Jul,7,2017,j,,2,,,http://ieeexplore.ieee.org/document/7918639/,IEEEXplore,,
045,C.-H. Kwak and I. V. Bajić,"Online MoCap data coding with bit allocation, rate control, and motion-adaptive post-processing",IEEE Trans. Multimedia,"vol. 19, no. 6, pp. 1127-1141.",Jun,6,2017,j,,,,,https://www.researchgate.net/publication/312168574_Online_MoCap_Data_Coding_with_Bit_Allocation_Rate_Control_and_Motion-Adaptive_Post-Processing,ResearchGate,https://www.researchgate.net/publication/312168734_MoCap_Coder,Code
046,"H. Khalilian, I. V. Bajić, and R. G. Vaughan",A simulation study of a 3D sound field reproduction system for immersive communication,"IEEE/ACM Trans. Audio, Speech, and Language Processing","vol. 25, no. 5, pp. 980-995.",May,5,2017,j,,1,,,https://www.researchgate.net/publication/313709430_A_Simulation_Study_of_a_3D_Sound_Field_Reproduction_System_for_Immersive_Communication,ResearchGate,https://www.researchgate.net/publication/313822275_Immersive-SFR-code,Code
047,D. Zhang and J. Liang,Graph-based Transform for 2D Piecewise Smooth Signals with Random Discontinuities,IEEE Trans. Image Processing,"Vol. 26, No. 4, pp. 1679-1693.",Apr,4,2017,j,,1,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7837705,IEEEXplore,,
048,"O. Alhussein, I. Ahmed, J. Liang, S. Muhaidat",Unified Analysis of Diversity Reception in the Presence of Implusive Noise,IEEE Trans. Vehicular Technology,"Vol. 66, No. 2, pp. 1408-1477.",Feb,2,2017,j,,,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7469794,IEEEXplore,,
049,"C. Dinesh, I. V. Bajić, and G. Cheung",Exemplar-based framework for 3D point cloud hole filling,Proc. IEEE VCIP'17,"St. Petersburg, FL, Dec. 2017. ",Dec,12,2017,c,,,,,https://www.researchgate.net/publication/319851799_Exemplar-based_Framework_for_3D_Point_Cloud_Hole_Filling,ResearchGate,https://www.researchgate.net/publication/321780814_code,Code
050,"X. Wang, H. W. Ng, and J. Liang",Lapped Convolutional Neural Networks for Embedded Systems,Proc. IEEE GlobalSIP’17,"Montreal, Quebec, Canada, pp. 1135-1139.",Nov,11,2017,c,,,,,,,,
051,H. Choi and I. V. Bajić,HEVC intra features for human detection,Proc. IEEE GlobalSIP'17,"pp. 393-397, Montreal, QC.",Nov,11,2017,c,,,,,https://www.researchgate.net/publication/319406058_HEVC_Intra_Features_for_Human_Detection,ResearchGate,,
052,"L. Zhao, J. Liang, H. Bai, A. Wang, and Y. Zhao",Convolutional Neural Network-based Depth Artifact Removal,Proc. IEEE ICIP’17,"Beijing, China.",Sep,9,2017,c,,,,,,,,
053,L. Bragilevsky and I. V. Bajić,Deep learning for Amazon satellite image analysis,Proc. IEEE PacRim'17,"Victoria, BC.",Aug,8,2017,c,,,,,,,,
054,"L. Zhao, J. Liang, H. Bai, A. Wang, and Y. Zhao",Single Depth Image Super-Resolution with Multiple Residual Dictionary Learning and Refinement,Proc. IEEE ICME’17,Hong Kong.,Jul,7,2017,c,,,,,,,,
055,"X. Shang, H. Zhao, G. Wang, C. Wu, C. Lin, and J. Liang",A New Combined PSNR for Objective Video Quality Assessment,Proc. IEEE ICME’17,Hong Kong.,Jul,7,2017,c,,,,,,,,
056,H. Choi and I. V. Bajić,Corner proposals from HEVC bitstreams,Proc. IEEE ISCAS'17,"pp. 1-4, Baltimore, MD.",May,5,2017,c,,,,,https://www.researchgate.net/publication/315678696_Corner_Proposals_from_HEVC_Bitstreams,ResearchGate,,
057,H. Hadizadeh and I. V. Bajić,Color Gaussian jet features for no-reference quality assessment of multiply-distorted images,IEEE Signal Processing Letters,"vol. 23, no. 12, pp. 1717-1721. ",Dec,12,2016,j,,,,,https://www.researchgate.net/publication/309141844_Color_Gaussian_Jet_Features_For_No-reference_Quality_Assessment_of_Multiply-distorted_Images,ResearchGate,https://www.researchgate.net/publication/320457073_Code_for_ColorJet-IQA,Code
058,"S. Makonin, F. Popowich, I. V. Bajić, B. Gill, and L. Bartram",Exploiting HMM sparsity to perform online real-time nonintrusive load monitoring (NILM),IEEE Trans. Smart Grid,"vol. 7, no. 6, pp. 2575-2585.",Nov,11,2016,j,,,,,https://www.researchgate.net/publication/282650586_Exploiting_HMM_Sparsity_to_Perform_Online_Real-Time_Nonintrusive_Load_Monitoring_%28NILM%29,ResearchGate,https://github.com/smakonin/SparseNILM,Code
059,"H. Lei, A. Wang, W. Liu, and J. Liang",Early Termination Algorithm for the Depth Modeling Mode in 3D-HEVC,Journal of Electronic Imaging,"25(5), 050503. doi:10.1117/1.JEI.25.5.050503.",Oct,10,2016,j,,,,,http://electronicimaging.spiedigitallibrary.org/article.aspx?articleid=2571310,SPIE,,
060,"B. Selim, O. Alhussein, S. Muhaidat, G. K. Karagiannidis, and J. Liang",Modeling And Analysis of Wireless Channels via the Mixture of Gaussians Distribution,IEEE Trans. Vehicular Technology,"Vol. 65, No. 10, pp. 8309-8321. ",Oct,10,2016,j,,,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7336572,IEEEXplore,,
061,"A. A. Hammadi, O. Alhussein, P. C. Sofotasios, S. Muhaidat, M. Al-Qutayri, S. Al-Araji, G. K. Karagiannidis, and J. Liang",Unified Analysis of Cooperative Spectrum Sensing over Composite and Generalized Fading Channels,IEEE Trans. Vehicular Technology,"Vol. 65, No. 9, pp. 6949-6961.",Sep,9,2016,j,,,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7289437,IEEEXplore,,
062,"S. Liu, A. Wang, H. Wang, S. Li, D. Zhuo, and J. Liang",Adaptive Residual-based Distributed Compressed Sensing for Soft Video Multicasting over Wireless Networks,Multimedia Tools and Applications,"doi:10.1007/s11042-016-3859-3, pp. 1-20.",Sep,9,2016,j,,,,,https://link.springer.com/article/10.1007/s11042-016-3859-3,Springer,,
063,"X. Wang, and J. Liang",Multi-Resolution Compressed Sensing via Approximate Message Passing,IEEE Trans. on Computational Imaging,"Vol. 2, No. 3, pp. 218-234.",Sep,9,2016,j,,,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7484325,IEEEXplore,https://github.com/xingwangsfu/MR-AMP,Code
064,H. Hadizadeh and I. V. Bajić,No-reference image quality assessment using statistical wavelet-packet features,Pattern Recognition Letters,"vol. 80, pp. 144–149.",Sep,9,2016,j,,,,,http://ac.els-cdn.com/S0167865516301349/1-s2.0-S0167865516301349-main.pdf?_tid=0d047ffa-38ae-11e6-8d98-00000aab0f26&acdnat=1466623267_8094fb94560e428250851a07f5028138,ScienceDirect,http://www.sfu.ca/~ibajic/software/WPD_NR_IQA.rar,Code
065,"H. Khalilian, I. V. Bajić, and R. G. Vaughan",Comparison of loudspeaker placement methods for sound field reproduction,"IEEE/ACM Trans. Audio, Speech, and Language Processing","vol. 24, no.8, pp. 1364 – 1379. ",Aug,8,2016,j,,,,,https://www.researchgate.net/publication/301362470_Comparison_of_Loudspeaker_Placement_Methods_for_Sound_Field_Reproduction,ResearchGate,https://www.researchgate.net/publication/301362762_SFRplacement,Code
066,"S. Makonin, B. Ellert, I. V. Bajić, and F. Popowich","Electricity, water, and natural gas consumption of a residential house in Canada from 2012 to 2014",Scientific Data (Nature Publishing Group),"vol. 3, article no. 160037.",Jun,6,2016,j,,,,,http://www.nature.com/articles/sdata201637,Nature,,
067,V. A. Mateescu and I. V. Bajić,Visual attention retargeting,IEEE MultiMedia,"vol. 23, no. 1, pp. 82-91.",Mar,3,2016,j,,3,,,https://www.researchgate.net/publication/277331757_Visual_Attention_Retargeting,ResearchGate,,
068,"Y. Gao, G. Cheung, M. Thomas, P. Frossard, and J. Liang",Encoder-Driven Inpainting Strategy in Multiview Video Compression,IEEE Trans. Image Processing,"Vol. 25, No. 1, pp. 134 – 149.  ",Jan,1,2016,j,,,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7321023,IEEEXplore,,
069,M. P. Stapleton and I. V. Bajić,Robust domain-filling plumb-line lens distortion correction,Proc. IEEE ISM'16,"pp. 507-514, San Jose, CA.",Dec,12,2016,c,,,,,http://ieeexplore.ieee.org/document/7823679/,IEEEXplore,http://www.sfu.ca/~ibajic/software/ISM-2016-code.rar,Code
070,"X. Wang, and J. Liang",Scalable Compression of Deep Neural Networks,2016 ACM Multimedia Conference,"Amsterdam, Netherland, pp. 511-515.",Oct,10,2016,c,,,,,https://dl.acm.org/citation.cfm?id=2967273,ACM,,
071,"H. Khalilian, I. V. Bajić, and R. G. Vaughan",Learning to reproduce a sound field,Proc. IEEE MLSP'16,"Salerno, Italy.",Sep,9,2016,c,,,,,https://www.researchgate.net/publication/308519961_Learning_to_reproduce_a_sound_field,ResearchGate,,
072,"S. Wu, J. Liang, and J. Ho",Head pose estimation and its application in TV viewers' behavior analysis,2016 IEEE Canadian Conf. on Electrical and Computer Engineering (CCECE),"Vancouver, Canada, pp. 1-6.",May,5,2016,c,,,,,,,,
073,J. Lin and I. V. Bajić,A platform for subjective image quality evaluation on mobile devices,Proc. IEEE CCECE'16,"Vancouver, BC.",May,5,2016,c,,,,,http://dx.doi.org/%2010.1109/CCECE.2016.7726650,IEEEXplore,,
074,"M. P. Stapleton, M. Z. A. Bhotto and I. V. Bajić",A simulation environment for visual-inertial sensor fusion,Proc. IEEE CCECE'16,"Vancouver, BC.",May,5,2016,c,,,,,http://dx.doi.org/10.1109/CCECE.2016.7726705,IEEEXplore,,
075,"D. Zhang, and J. Liang",Graph-based Transform for 2D Piecewise Smooth Signals with Random Discontinuities,Data Compression Conference (DCC),"Utah, USA, pp. 447-455.",Mar,3,2016,c,,,,,,,,
076,I. V. Bajić,Video streaming,"AccessScience, McGraw-Hill Education",,,,2016,b,,,,,http://dx.doi.org/10.1036/1097-8542.732075,McGraw-Hill,,
077,"S. H. Khatoonabadi, I. V. Bajić, and Y. Shan",Compressed-domain correlates of human fixations in dynamic scenes,Multimedia Tools and Applications,"vol. 74, no. 22, pp. 10057-10075. (Special Issue on Perception Inspired Video Processing)",Nov,11,2015,j,,,,,https://www.researchgate.net/publication/279525217_Compressed-Domain_Correlates_of_Human_Fixations_in_Dynamic_Scenes,ResearchGate,http://www.sfu.ca/~ibajic/software/kbs_pivp2014_code.rar,Code
078,"X. Wang, and J. Liang",Approximate Message Passing-based Compressed Sensing Reconstruction with Generalized Elastic Net Prior,Signal Processing: Image Communication,"Vol. 37, pp. 19-33.",Sep,9,2015,j,,,,,http://ac.els-cdn.com/S0923596515001071/1-s2.0-S0923596515001071-main.pdf?_tid=1aa3d03a-3a57-11e5-b9a6-00000aacb360&acdnat=1438658328_a9fc030f4fddba28a3da45f12d4ae79d,ScienceDirect,https://github.com/xingwangsfu/SI-AMP,Code
079,"K. Min, J. Ma, D. Sim, and I. V. Bajić",Bi-directional mesh-based frame rate up-conversion with a dense motion vector map,IEEE MultiMedia,"vol. 22, no. 2, pp. 36-45.",Jun,6,2015,j,,,,,http://ieeexplore.ieee.org/xpl/articleDetails.jsp?tp=&arnumber=6786195,IEEEXplore,,
080,"D. Zhang, and J. Liang",View Synthesis Distortion Estimation with Graphical Model and Recursive Calculation of Probability Distribution,IEEE Trans. on Circuits and Systems for Video Technology,"Vol. 25, No. 5, pp. 827-840. ",May,5,2015,j,,,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6926829,IEEEXplore,https://github.com/zd1984/SynthesizedDistortionEstimation,Code
081,"K.-Y. Min, W. Lim, J. Nam, D. Sim, and I. V. Bajić",Distributed video coding supporting hierarchical GOP structures with transmitted motion vectors,EURASIP J. Image and Video Processing,12:00.0,May,5,2015,j,,,,,https://link.springer.com/article/10.1186/s13640-015-0068-3,Springer,,
082,Md. Z. A. Bhotto and I. V. Bajić,"Constant modulus blind adaptive beamforming based on unscented Kalman filtering,",IEEE Signal Processing Letters,"vol. 22, no. 4, pp. 474-478.",Apr,4,2015,j,,,,,http://ieeexplore.ieee.org/xpl/articleDetails.jsp?arnumber=6922488,IEEEXplore,,
083,"M. Zhao, X. Gong, J. Liang, W. Wang, X. Que, and S. Cheng",QoE-driven Cross-layer Optimization for Wireless Dynamic Adaptive Streaming of Scalable Videos over HTTP,IEEE Trans. on Circuits and Systems for Video Technology,"Vol. 25, No. 3, pp. 451-465.",Mar,3,2015,j,,,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6898001,IEEEXplore,,
084,"J. Guo, X. Gong, J. Liang, S. Zhang, M. Zhao, W. Wang, and Z. Li",A Hybrid Transmission Approach for DASH over MBMS in LTE Network,2015 IEEE Global Telecommunications Conference (GLOBECOM),"San Diego, USA. pp. 1-6.",Dec,12,2015,c,,,,,,,,
085,"O. Alhussein, A. Al Hammadi, P. C. Sofotasios, S. Muhaidat, J. Liang, M. Al-Qutayri, and G. K. Karagiannidis",Performance Analysis of Energy Detection over Mixture Gamma based Fading Channels with Diversity Reception,"IEEE Int. Conf. Wireless and Mobile Compuer, Network and Communications","Abu Dhabi, UAE, pp. 1-7",Oct,10,2015,c,,,,,,,,
086,"L. Liu, J. Liang, Y. Zhao, C. Lin, and H. Bai",Quantized Dictionary for Sparse Representation,IEEE Workshop on Multimedia Signal Processing (MMSP),"Xiamen, China, pp. 1-6.",Oct,10,2015,c,,,,,,,,
087,"G. Javadi, A. Hajshirmohammadi, and J. Liang",JPEG2000 Image Transmission Over OFDM-Based Cognitive Radio Network,IEEE 6th International Conference and Workshop on Computing and Communication,"Vancouver, Canada, pp. 1-6.",Oct,10,2015,c,,,,,,,,
088,"X. Wang, and J. Liang",Multi-Resolution Compressed Sensing Reconstruction via Approximate Message Passing,Proc. 2015 IEEE Inter. Conf. Image Processing (ICIP),"Quebec City, Canada, pp. 4352-4356.",Sep,9,2015,c,,,,,,,,
089,"M. Zhao, X. Gong, J. Liang, J. Guo, W. Wang,X. Que, and S. Cheng",A Cloud-assisted DASH-based Scalable Interactive Multiview Video Streaming Framework,Proc. 31st Picture Coding Symposium,"pp. 221-226, Cairns, Australia. pp. 221-226.",Jun,6,2015,c,,,,,,,,
090,"S. H. Khatoonabadi, N. Vasconcelos, I. V. Bajić, and Y. Shan","How many bits does it take for a stimulus to be salient?,",Proc. IEEE CVPR'15,"pp. 5501-5510, Boston, MA.",Jun,6,2015,c,,,,,https://www.researchgate.net/publication/274382813_How_many_bits_does_it_take_for_a_stimulus_to_be_salient,ResearchGate,http://www.sfu.ca/~ibajic/software/kvbs_cvpr2015.rar,Code
091,"A. Hajshirmohammadi, N. Zarei",Incorporating Experiential Learning In Lower Division Engineering Courses,Canadian Engineering Education Association Conference (CEEA'15),"Hamilton, Ont. ",Jun,6,2015,c,,,,,,,,
092,"O. Alhussein, B. Selim, T. Assaf, S. Muhaidat, J. Liang, and G. Karagiannidis",A Generalized Mixture of Gaussians Model for Fading Channels,Proc. 2015 IEEE Vehicular Technology Conference,"Glasgow, Scotland, pp. 1-6.",May,5,2015,c,,,,,,,,
093,"H. Khalilian, I. V. Bajić, and R. G. Vaughan",Joint optimization of loudspeaker placement and radiation patterns for sound field reproduction,Proc. IEEE ICASSP'15,"pp. 519-523, Brisbane, Australia. ",Apr,4,2015,c,,,,,http://ieeexplore.ieee.org/xpl/articleDetails.jsp?arnumber=7178023,IEEEXplore,,
